,Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,happy_level
75,Kuwait,6.132137489259186,1.5710182633382412,0.6973980801402816,0.5385311264502219,0.1625943104136476,0.1498713612377633,Happy
76,Kyrgyzstan,5.372562534865021,0.6198901308855171,0.6119342099467049,0.5400563942125606,0.0328557337504048,0.3086963891907025,Happy
77,Laos,4.889942839,0.7881105491428572,0.4599111831428571,0.6035167552857142,0.1945705662857142,0.2980538728571428,Ok
78,Latvia,5.817874964204071,1.260643009350205,0.6859199243531494,0.3456970899306335,0.0781817813309817,0.1136490913833761,Happy
79,Lebanon,4.757312501954071,1.0626925058385388,0.7438665265777511,0.2590590818765068,0.044807747095963,0.1850556124619502,Ok
80,Lesotho,3.856114310105434,0.5146299981300135,0.0615792587142857,0.3890998330326668,0.076088351859508,0.1180007019850584,Ok
81,Liberia,4.187612493046326,0.1855506000060477,0.3084828088496714,0.3632017848040219,0.0501160156339795,0.2269709695341225,Ok
82,Libya,5.526725018045929,1.1088808539182888,0.5787044565873871,0.4504359108892478,0.1414360361475353,0.1418314206816702,Happy
83,Lithuania,6.070687478551117,1.3141964993587338,0.7009238904005775,0.3338003218674708,0.0399657396066351,0.036064462209544,Happy
84,Luxembourg,7.080687513384582,1.7106312058491977,0.8817365225227546,0.6085368670079613,0.3493932366273575,0.2138981127343082,Very Happy
85,Madagascar,3.92994998455072,0.3137677376463184,0.4237675419752064,0.1861055393028526,0.0788475766869769,0.1857065743093328,Ok
86,Malawi,3.787875016951279,0.2063883456622066,0.345939110049614,0.4667680608472595,0.1012194507509293,0.2402894408451119,Ok
87,Malaysia,5.749912542828278,1.2707396307211614,0.6823620374553527,0.5077195641827411,0.0745729801408777,0.3113731363292618,Happy
88,Maldives,5.197799944,1.026432152,0.8057197795,0.5616018235,0.072453246,0.2140991259999999,Happy
89,Mali,4.378287509902558,0.4170378928539544,0.2068308995321597,0.3470197740381507,0.0811383153191776,0.166955156116581,Ok
90,Malta,6.5614749899261176,1.3662516409452512,0.8629182825944214,0.6159495103370971,0.1606662682359638,0.3994751757605858,Very Happy
91,Mauritania,4.316199968861817,0.6436402725927581,0.3574580119552631,0.1709915657530674,0.133171829958291,0.1529537110255317,Ok
92,Mauritius,5.844287493740021,1.1741736871141435,0.6745983588780862,0.5456494325169544,0.0708137230227177,0.2548472877334805,Happy
93,Mexico,6.567000027708069,1.1373989121079324,0.7433062527134209,0.4929403201704655,0.1230722228260956,0.0986468647248577,Very Happy
94,Moldova,5.752937487088654,0.8083796782830353,0.6177643317376289,0.348062567106019,0.0125812537690751,0.1729135388007145,Happy
95,Mongolia,5.255025005838256,0.99622858007412,0.5602427058073653,0.3816033854775715,0.0401181768977434,0.2847549957873745,Happy
96,Montenegro,5.391762516069488,1.1225048888687137,0.7203791960648919,0.2681153629243907,0.0969724131371898,0.1542789192617035,Happy
97,Morocco,5.1167250160643,0.8490133363885116,0.640132198880085,0.4223228088886814,0.0843310983523612,0.0375615632694811,Happy
98,Mozambique,4.695657170962122,0.2370181451422577,0.210312581913742,0.515419490274135,0.1653615288045087,0.225905743982302,Ok
99,Myanmar,4.380375020536744,0.5941751850504493,0.4487782055878372,0.5247576127390137,0.1863895698333863,0.6449348611225282,Ok
100,Namibia,4.547442873820626,0.952055187956434,0.36441899734278,0.4522917886260507,0.0716353307654609,0.0729340325650089,Ok
101,Nepal,4.98064997152356,0.5130125704825249,0.5566850213371086,0.4557317754071807,0.0952035636401996,0.3138284964869327,Ok
102,Netherlands,7.418862509755188,1.480001372173905,0.8635651836288147,0.6074851210132217,0.333080198427309,0.3731334248473338,Very Happy
